,parti,abstention,contre,pour,vote_uid
0,La France Insoumise,0.0,2.0,0.0,VTANR5L15V2827
1,La République en Marche,3.0,11.0,41.0,VTANR5L15V2827
2,Les Républicains,0.0,2.0,13.0,VTANR5L15V2827
3,Mouvement Démocrate,0.0,2.0,6.0,VTANR5L15V2827
4,Non rattachée,0.0,0.0,1.0,VTANR5L15V2827
5,Parti communiste français,0.0,0.0,2.0,VTANR5L15V2827
6,Parti socialiste,0.0,2.0,0.0,VTANR5L15V2827
7,Rassemblement national,0.0,0.0,1.0,VTANR5L15V2827
8,"Union des démocrates, radicaux et libéraux",0.0,0.0,3.0,VTANR5L15V2827
0,Europe Écologie Les Verts,0.0,0.0,1.0,VTANR5L15V2963
1,La France Insoumise,0.0,0.0,4.0,VTANR5L15V2963
2,La République en Marche,0.0,45.0,4.0,VTANR5L15V2963
3,Les Républicains,0.0,12.0,0.0,VTANR5L15V2963
4,Mouvement Démocrate,0.0,9.0,0.0,VTANR5L15V2963
5,Non rattachée,0.0,1.0,0.0,VTANR5L15V2963
6,Parti communiste français,0.0,0.0,4.0,VTANR5L15V2963
7,Parti progressiste martiniquais,0.0,0.0,1.0,VTANR5L15V2963
8,Parti socialiste,0.0,0.0,3.0,VTANR5L15V2963
0,La République en Marche,0.0,24.0,0.0,VTANR5L15V2366
1,Mouvement Démocrate,0.0,2.0,0.0,VTANR5L15V2366
2,Parti communiste français,0.0,0.0,2.0,VTANR5L15V2366
3,Parti progressiste martiniquais,0.0,0.0,2.0,VTANR5L15V2366
4,Parti socialiste,0.0,0.0,4.0,VTANR5L15V2366
0,Debout la France,1.0,0.0,0.0,VTANR5L15V2520
1,La France Insoumise,0.0,0.0,5.0,VTANR5L15V2520
2,La République en Marche,0.0,56.0,0.0,VTANR5L15V2520
3,Les Républicains,9.0,2.0,0.0,VTANR5L15V2520
4,Mouvement Démocrate,0.0,12.0,0.0,VTANR5L15V2520
5,Parti communiste français,0.0,0.0,5.0,VTANR5L15V2520
6,Parti socialiste,0.0,0.0,5.0,VTANR5L15V2520
7,Rassemblement national,1.0,0.0,0.0,VTANR5L15V2520
8,"Union des démocrates, radicaux et libéraux",0.0,2.0,0.0,VTANR5L15V2520
0,La République en Marche,0.0,24.0,0.0,VTANR5L15V2089
1,Les Républicains,0.0,0.0,8.0,VTANR5L15V2089
2,Parti socialiste,0.0,3.0,0.0,VTANR5L15V2089
0,La France Insoumise,0.0,0.0,2.0,VTANR5L15V1206
1,La République en Marche,0.0,18.0,0.0,VTANR5L15V1206
0,La France Insoumise,0.0,0.0,2.0,VTANR5L15V3035
1,La République en Marche,0.0,37.0,1.0,VTANR5L15V3035
2,Les Républicains,0.0,0.0,4.0,VTANR5L15V3035
3,Mouvement Démocrate,0.0,9.0,0.0,VTANR5L15V3035
4,Parti communiste français,0.0,0.0,3.0,VTANR5L15V3035
