identifiant;circonscription;nom;parti_sigle;parti;semaines_presence;commission_presences;amendements_signes;amendements_adoptes
PA608016;2;véronique louwagie;LR;Les Républicains;35;42;6213;140
PA721560;5;benjamin griveaux;LREM;La République en Marche;11;5;319;164
PA719528;5;jean-françois portarrieu;LREM;La République en Marche;25;26;333;181
PA719540;7;élisabeth toutut-picard;LREM;La République en Marche;16;19;571;214
PA721656;2;cécile muschotti;LREM;La République en Marche;14;10;483;230
PA643103;1;jean-jacques ferrara;LR;Les Républicains;24;24;1239;26
PA719154;1;didier martin;LREM;La République en Marche;31;41;617;216
PA607619;4;paul molac;LT;Régions et peuples solidaires;33;50;2165;70
PA719170;1;fannette charvier;LREM;La République en Marche;27;19;460;213
PA720354;6;jean-michel jacques;LREM;La République en Marche;25;28;385;174
PA642935;5;olivier becht;AE;Mouvement Démocrate;36;47;915;54
PA2150;4;jean-luc mélenchon;LFI;La France Insoumise;34;24;5406;35
PA721336;5;blandine brocard;MODEM;La République en Marche;26;19;773;187
PA2796;6;guy teissier;LR;Les Républicains;19;12;942;18
PA719942;1;stéphane baudu;MODEM;Mouvement Démocrate;29;38;588;116
PA722194;10;florence provendier;LREM;La République en Marche;32;48;1170;303
PA719994;5;catherine kamowski;LREM;La République en Marche;24;36;406;211
PA718838;3;fabrice brun;LR;Les Républicains;24;39;4229;92
PA608695;4;cécile untermaier;SOC;Parti socialiste;32;68;3789;133
PA607155;6;yves daniel;LREM;La République en Marche;29;45;895;210
PA720996;9;m'jid el guerrab;AE;Union des démocrates;32;37;1722;69
PA607090;2;jean-pierre vigier;LR;Les Républicains;30;37;3179;48
PA720862;1;frédéric descrozaille;LREM;La République en Marche;25;26;482;187
PA722038;1;damien adam;LREM;La République en Marche;26;63;606;220
PA720644;3;jérôme nury;LR;Les Républicains;23;14;2148;51
PA334116;2;jacqueline maquet;LREM;La République en Marche;16;12;594;176
PA717167;16;mounir mahjoubi;LREM;La République en Marche;26;13;320;167
PA331835;6;monique iborra;LREM;La République en Marche;23;22;365;208
PA719286;2;paul-andré colombani;LT;Régions et peuples solidaires;16;9;2116;73
PA721678;7;robin reda;LR;Les Républicains;32;57;3544;79
PA719302;2;alice thourot;LREM;La République en Marche;16;16;625;275
PA343493;5;gwendal rouillard;LREM;La République en Marche;14;12;389;173
PA605963;2;éric alauzet;LREM;La République en Marche;20;22;566;210
PA720362;1;belkhir belhaddad;LREM;La République en Marche;29;28;511;224
PA718944;5;cathy racon-bouzon;LREM;La République en Marche;19;21;624;236
PA721036;2;lénaïck adam;LREM;La République en Marche;8;5;510;200
PA721344;6;bruno bonnell;LREM;La République en Marche;23;15;326;166
PA718954;7;saïd ahamada;LREM;La République en Marche;25;21;391;190
PA607395;3;stéphane travert;LREM;La République en Marche;23;17;626;193
PA267260;1;bérengère poletti;LR;Les Républicains;25;30;4338;84
PA720014;2;huguette tiegna;LREM;La République en Marche;13;12;837;225
PA722240;2;pierre venteau;LREM;La République en Marche;22;26;637;212
PA2952;3;jean-luc warsmann;UDI;Non déclaré(s);23;44;1108;35
PA721004;10;amélia lakrafi;LREM;La République en Marche;21;14;422;180
PA337483;3;serge letchimy;SOC;Parti progressiste martiniquais;20;17;3755;137
PA340357;2;michèle victory;SOC;Parti socialiste;27;59;3784;143
PA722046;10;aurore bergé;LREM;La République en Marche;25;27;893;517
PA719668;1;patricia mirallès;LREM;La République en Marche;21;26;469;184
PA722062;12;florence granjus;LREM;La République en Marche;23;40;540;216
PA719684;3;coralie dubost;LREM;La République en Marche;30;44;482;226
PA720652;1;bruno duvergé;MODEM;Mouvement Démocrate;33;32;573;122
PA720664;3;josé evrard;NI;Debout la France;16;6;12;0
PA719550;7;liliana tanguy;LREM;La République en Marche;33;48;511;189
PA719294;1;mireille clapot;LREM;La République en Marche;29;35;553;199
PA1206;8;nicolas dupont-aignan;NI;Debout la France;35;22;88;0
PA719310;3;célia de lavergne;LREM;La République en Marche;21;37;432;208
PA267450;2;rémi delatte;LR;Les Républicains;26;38;1343;28
PA720370;2;ludovic mendes;LREM;La République en Marche;30;43;489;202
PA719194;4;yolaine de courson;NI;La République en Marche;25;45;1357;131
PA721352;13;danièle cazarian;LREM;La République en Marche;24;26;592;226
